CITY;STATE;CAPITAL;IBGE_RES_POP;IBGE_RES_POP_BRAS;IBGE_RES_POP_ESTR;IBGE_DU;IBGE_DU_URBAN;IBGE_DU_RURAL;IBGE_POP;IBGE_1;IBGE_1-4;IBGE_5-9;IBGE_10-14;IBGE_15-59;IBGE_60+;IBGE_PLANTED_AREA;IBGE_CROP_PRODUCTION_$;IDHM Ranking 2010;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;LONG;LAT;ALT;PAY_TV;FIXED_PHONES;AREA;REGIAO_TUR;CATEGORIA_TUR;ESTIMATED_POP;RURAL_URBAN;GVA_AGROPEC;GVA_INDUSTRY;GVA_SERVICES;GVA_PUBLIC; GVA_TOTAL ;TAXES;GDP;POP_GDP;GDP_CAPITA;GVA_MAIN;MUN_EXPENDIT;COMP_TOT;COMP_A;COMP_B;COMP_C;COMP_D;COMP_E;COMP_F;COMP_G;COMP_H;COMP_I;COMP_J;COMP_K;COMP_L;COMP_M;COMP_N;COMP_O;COMP_P;COMP_Q;COMP_R;COMP_S;COMP_T;COMP_U;HOTELS;BEDS;Pr_Agencies;Pu_Agencies;Pr_Bank;Pu_Bank;Pr_Assets;Pu_Assets;Cars;Motorcycles;Wheeled_tractor;UBER;MAC;WAL-MART;POST_OFFICES
Abadia De Goiás;GO;0;6876;6876;0;2137;1546;591;5300;69;318;438;517;3542;416;319;1843;1689;0.708;0.687;0.83;0.622;-4.944.054.783;-1.675.881.189;893.6;360;842;147.26;;;8583;Urbano;6.2;27991.25;74750.32;36915.04;145857.6;20554.2;166.41;8053;20664.57;Demais serviços;28227691;284;5;1;56;0;2;29;110;26;4;5;0;2;10;12;4;6;6;1;5;0;0;;;;;;;;;2158;1246;0;;;;1
Abadia Dos Dourados;MG;0;6704;6704;0;2328;1481;847;4154;38;207;260;351;2709;589;4479;18017;2207;0.69;0.693;0.839;0.563;-4.739.683.244;-1.848.756.496;753.12;77;296;881.06;Caminhos Do Cerrado;D;6972;Rural Adjacente;50524.57;25917.7;62689.23;28083.79;167215.28;12873.5;180.09;7037;25591.7;Demais serviços;17909274;476;6;6;30;1;2;34;190;70;28;11;0;4;15;29;2;9;14;6;19;0;0;;;;;;;;;2227;1142;0;;;;1
Abadiânia;GO;0;15757;15609;148;4655;3233;1422;10656;139;650;894;1087;6896;990;10307;33085;2202;0.69;0.671;0.841;0.579;-4.871.881.214;-1.618.267.186;1017.55;227;720;1,045.13;Região Turística Do Ouro E Cristais;C;19614;Rural Adjacente;42.84;16728.3;138198.58;63396.2;261161.91;26822.58;287984.49;18427;15628.4;Demais serviços;37513019;288;5;9;26;0;2;7;117;12;57;2;1;0;7;15;3;11;5;1;8;0;0;1;34;1;1;1;1;33724584;67091904;2838;1426;0;;;;3
Abaeté;MG;0;22690;22690;0;7694;6667;1027;18464;176;856;1233;1539;11979;2681;1862;7502;1994;0.698;0.72;0.848;0.556;-4.544.619.142;-1.915.584.769;644.74;1230;1716;1,817.07;Lago De Três Marias;D;23223;Urbano;113824.6;31002.62;172.33;86081.41;403241.27;26994.09;430235.36;23574;18250.42;Demais serviços;;621;18;1;40;0;1;20;303;62;30;9;6;4;28;27;2;15;19;9;27;0;0;;;2;2;2;2;44974716;371922572;6928;2953;0;;;;4
Abaetetuba;PA;0;141100;141040;60;31061;19057;12004;82956;1354;5567;7618;8905;53516;5996;25200;700872;3530;0.628;0.579;0.798;0.537;-4.888.440.382;-1.723.469.863;10.12;3389;1218;1,610.65;Araguaia-Tocantins;D;156292;Urbano;140463.72;58610;468128.69;486872.4;1154074.81;95180.48;1249255.29;151934;8222.36;Administração, defesa, educação e saúde públicas e seguridade social;;931;4;2;43;0;1;27;500;16;31;6;1;1;22;16;2;155;33;15;56;0;0;;;2;4;2;4;76181384;800078483;5277;25661;0;;;;2
Abaiara;CE;0;10496;10496;0;2791;1251;1540;4538;98;323;421;483;2631;582;2598;5234;3522;0.628;0.54;0.748;0.612;-3.904.754.664;-7.356.976.596;403.11;29;34;180.08;;;11663;Rural Adjacente;4435.16;5.88;22.81;35989.96;69108.67;4042.79;73151.46;11483;6370.41;Administração, defesa, educação e saúde públicas e seguridade social;;86;1;0;4;0;0;6;48;2;10;2;0;0;2;3;2;0;2;0;4;0;0;;;;;;;;;553;1674;0;;;;1
Abaíra;BA;0;8316;8316;0;2572;1193;1379;3725;37;156;263;277;2319;673;895;3999;4086;0.603;0.577;0.746;0.51;-4.166.160.848;-1.325.353.189;674.22;952;335;538.68;Chapada Diamantina;D;8767;Rural Remoto;12.41;3437.43;17990.74;28463.74;62304.83;2019.77;64324.59;9212;6982.7;Administração, defesa, educação e saúde públicas e seguridade social;;191;6;0;8;0;1;4;97;5;5;3;1;0;5;5;2;8;1;2;38;0;0;1;24;;;;;;;896;696;0;;;;1
Abaré;BA;0;17064;17064;0;4332;2379;1953;8994;167;733;978;927;5386;803;2058;22761;4756;0.575;0.533;0.776;0.46;-3.911.658.794;-8.723.418.246;316.38;51;222;1,604.92;;;19814;Rural Remoto;9176.4;6.7;36921.84;65.75;118.55;6.21;124754.26;19939;6256.8;Administração, defesa, educação e saúde públicas e seguridade social;;87;2;0;3;0;0;0;71;0;1;1;0;0;0;1;2;0;2;0;4;0;0;;;1;0;1;0;21823314;0;613;1532;0;;;;1
Abatiá;PR;0;7764;7764;0;2499;1877;622;5685;69;302;370;483;3650;811;1197;9943;2258;0.687;0.676;0.804;0.596;-5.031.252.658;-2.330.049.404;579.3;55;392;228.72;;;7507;Rural Adjacente;73340.52;8839.71;42999.37;34103.49;159283.08;5.77;165048.21;7795;21173.6;Agricultura, inclusive apoio à agricultura e a pós colheita;;285;5;0;20;0;1;10;133;18;14;8;0;4;11;26;2;8;9;4;12;0;0;;;0;1;0;1;0;45976288;2168;912;0;;;;1
Abdon Batista;SC;0;2653;2653;0;848;234;614;724;12;32;49;63;479;89;5502;26195;2092;0.69;0.66;0.812;0.625;-5.102.527.221;-2.760.898.712;720.98;109;260;237.16;Vale Do Contestado;D;2577;Rural Adjacente;24996.75;3578.87;16011.1;17842.64;62429.36;2312.65;64742.01;2617;24739.02;Administração, defesa, educação e saúde públicas e seguridade social;19506956;69;2;0;4;0;0;2;35;8;3;1;1;0;4;0;2;1;3;0;3;0;0;;;0;1;0;1;0;42909056;976;345;2;;;;1
Abel Figueiredo;PA;0;6780;6780;0;1880;1650;230;5998;102;471;609;691;3657;468;1184;4168;3657;0.622;0.625;0.8;0.481;-4.839.676.213;-4.951.390.896;192.76;248;43;614.13;Amazônia Atlântica;E;7382;Intermediário Adjacente;21381.59;5.31;20515.48;27736.46;74947.67;4709.92;79657.59;7179;11095.92;Administração, defesa, educação e saúde públicas e seguridade social;;72;0;0;9;0;1;0;41;1;0;1;0;0;2;1;6;6;0;0;4;0;0;;;0;1;0;1;0;11709575;279;807;0;;;;1
Abelardo Luz;SC;0;17100;17084;16;4739;2694;2045;9544;147;616;808;963;6068;942;57186;254540;2032;0.696;0.684;0.852;0.578;-5.233.648.238;-2.656.303.102;724.99;484;910;953.99;Grande Oeste;D;17847;Rural Adjacente;212531.45;78176.47;197092.1;78972.1;566772.13;37508.23;604280.35;17782;33982.7;Agricultura, inclusive apoio à agricultura e a pós colheita;;464;8;2;40;1;1;25;177;67;25;9;4;7;26;16;2;14;13;4;23;0;0;;;1;2;1;2;29730462;382942698;5823;2001;1;;;;1
Abre Campo;MG;0;13311;13294;17;3930;2202;1728;7101;85;362;529;620;4512;993;4543;24155;3046;0.654;0.646;0.823;0.525;-4.248.098.999;-2.030.144.528;589.83;625;519;470.55;Montanhas E Fé;D;13465;Rural Adjacente;43828.42;10448.76;72852.23;50.66;177793.23;10110.5;187903.74;13726;13689.62;Demais serviços;;369;3;2;33;0;1;12;148;31;17;5;3;4;17;12;4;11;22;6;38;0;0;;;0;1;0;1;0;81340685;2838;1851;0;;;;2
Abreu E Lima;PE;0;94429;94407;22;28182;25944;2238;81482;1050;4405;6255;7019;54749;8004;387;2595;2477;0.679;0.625;0.791;0.632;-3.489.913.058;-790.444.899;27.06;1418;4661;126.19;Costa Náutica Coroa Do Avião;D;99622;Urbano;7.8;384262.09;526.04;336141.88;1254241.3;170264.52;1424505.83;98990;14390.4;Demais serviços;119645700;841;1;0;130;0;2;26;434;27;36;14;3;4;18;30;2;47;20;6;41;0;0;;;2;3;2;3;155632735;460626103;14579;10122;0;;;;1
Abreulândia;TO;0;2391;2391;0;760;445;315;1476;21;107;172;182;872;122;13102;31281;2786;0.665;0.7;0.835;0.502;-4.916.243.756;-9.621.790.712;238.86;14;29;1,895.21;;;2564;Rural Adjacente;20312.55;2108.24;6802.38;16520.91;45744.07;1634.18;47378.25;2555;18543.35;Administração, defesa, educação e saúde públicas e seguridade social;9712530;27;4;0;0;0;0;3;11;0;1;1;0;0;1;1;4;0;0;0;1;0;0;;;;;;;;;190;318;0;;;;1
Acaiaca;MG;0;3920;3920;0;1264;834;430;2550;31;150;197;256;1581;335;208;509;3493;0.63;0.61;0.823;0.499;-431.482.389;-2.036.040.893;492.79;229;133;101.89;Serras De Minas;E;3994;Rural Adjacente;3838.68;1892.39;11978.78;17695.77;35405.62;1018.41;36424.03;4061;8969.23;Administração, defesa, educação e saúde públicas e seguridade social;12182050;60;1;3;8;0;0;2;24;1;4;1;0;0;1;3;2;5;1;0;4;0;0;;;;;;;;;899;598;0;;;;1
Açailândia;MA;0;104047;104018;29;27523;20612;6911;78081;1442;5896;7924;8368;49197;5254;27137;89420;2633;0.672;0.643;0.785;0.602;-4.750.666.459;-4.951.377;229.05;1225;2618;5,806.44;;;111757;Urbano;159853.84;488799.22;779.84;364811.85;1793302.18;206244.13;1999546.31;110543;18088.4;Demais serviços;214456331;1334;47;1;113;0;5;75;657;61;80;18;5;21;38;72;3;21;52;12;53;0;0;2;56;2;3;2;3;125525251;1494221307;9935;24208;17;;;;1
Acajutiba;BA;0;14653;14643;10;4116;3632;484;12727;216;849;1282;1404;7412;1564;4570;11442;4613;0.58;0.56;0.723;0.487;-3.801.828.637;-1.166.261.283;183.93;426;297;181.48;;;15129;Rural Adjacente;23176.61;7.02;33546.04;48142.87;111888.63;3269.82;115158.46;15764;7305.15;Administração, defesa, educação e saúde públicas e seguridade social;27275310;96;2;0;4;0;0;1;57;2;3;1;2;0;1;2;3;3;4;2;9;0;0;;;0;1;0;1;0;50185684;834;1444;0;;;;1
Acará;PA;0;53569;53516;53;11833;3014;8819;12590;265;1082;1436;1537;7281;989;41637;342851;5513;0.506;0.517;0.757;0.332;-4.820.045.643;-19.634.365;7.4;964;181;4,343.55;Araguaia-Tocantins;D;55513;Rural Adjacente;441281.74;43934.34;97080.41;188941.14;771237.62;17.18;788.42;54080;14578.7;Agricultura, inclusive apoio à agricultura e a pós colheita;106368816;162;8;3;6;0;0;4;99;3;2;1;0;0;1;3;3;12;0;1;16;0;0;;;1;1;1;1;22821995;37523391;652;3342;0;;;;1
Acarape;CE;0;15338;15338;0;4186;2181;2005;8189;142;554;693;855;5149;796;1386;1274;4009;0.606;0.559;0.709;0.562;-3.870.562.377;-4.223.138.409;94.51;692;91;155.17;;;15399;Intermediário Adjacente;4.68;23265.11;36147.88;54.65;118741.09;9649.83;128390.92;16418;7820.13;Administração, defesa, educação e saúde públicas e seguridade social;33078580;132;2;9;39;0;0;2;54;4;2;0;0;0;1;3;3;5;0;0;8;0;0;;;;;;;;;1089;1246;0;;;;2
Acaraú;CE;0;57551;57542;9;14680;7410;7270;24117;358;1615;2084;2558;15123;2379;18505;38871;4125;0.601;0.554;0.758;0.517;-4.011.824.147;-288.531.054;17.29;3032;479;845.47;Litoral Extremo Oeste;C;62557;Rural Adjacente;74352.86;94123.87;187.46;188055.4;543990.18;36737.25;580727.43;61715;9409.83;Administração, defesa, educação e saúde públicas e seguridade social;101483437;638;41;1;38;8;0;6;363;7;28;3;0;6;9;14;2;71;17;6;18;0;0;;;1;3;1;3;57802114;529074069;3371;10448;0;;;;1
Acari;RN;0;11035;11030;5;3298;2721;577;8260;111;404;556;658;5217;1314;375;1977;2462;0.679;0.633;0.779;0.634;-3.664.373.887;-6.442.085.089;258.84;947;146;608.47;Polo Seridó;D;11152;Intermediário Adjacente;12.58;9.27;30.36;50992.14;103203.25;5380.07;108583.31;11338;9576.94;Administração, defesa, educação e saúde públicas e seguridade social;22943205;167;4;0;33;1;0;5;83;0;5;1;1;1;2;4;2;12;2;1;10;0;0;1;34;;;;;;;1259;1802;0;;;;1
Acauã;PI;0;6749;6749;0;1877;266;1611;901;13;74;83;99;558;74;5520;503;5408;0.528;0.517;0.692;0.411;-4.108.363.782;-8.220.786.663;372.31;6;28;1,279.59;Polo Histórico Cultural;E;7065;Rural Adjacente;6.05;1556.09;7052.14;25754.39;40410.01;2192.56;42602.57;6951;6128.98;Administração, defesa, educação e saúde públicas e seguridade social;14935714;77;0;0;2;0;1;0;20;4;3;1;0;0;0;2;7;1;0;0;36;0;0;;;;;;;;;272;1014;0;;;;1
Aceguá;RS;0;4394;4265;129;1398;314;1084;1059;17;46;76;119;684;117;31149;119866;2259;0.687;0.703;0.852;0.541;-5.416.473.154;-318.640.153;237.92;171;298;1,551.34;Pampa Gaúcho;D;4858;Urbano;130383.04;10632.62;66901.48;30193.24;238110.37;12221.86;250332.23;4731;52913.18;Agricultura, inclusive apoio à agricultura e a pós colheita;22028721;168;8;0;8;0;1;2;86;8;9;0;1;0;2;13;3;6;3;5;13;0;0;;;0;1;0;1;0;13450411;2046;591;5;;;;2
Acopiara;CE;0;51160;51160;0;15041;7885;7156;25159;365;1521;1929;2422;15121;3801;17482;4244;4279;0.595;0.563;0.724;0.517;-3.945.570.528;-6.092.761.995;312.96;426;598;2,265.35;;;53931;Rural Adjacente;35057.66;17008.7;137661.95;155449.9;345.18;26.52;371701.24;53358;6966.18;Administração, defesa, educação e saúde públicas e seguridade social;85042995;365;2;0;26;0;0;6;255;1;15;5;1;4;7;5;2;5;2;4;25;0;0;1;22;1;3;1;3;33077714;262320355;3158;11056;0;;;;10
Acorizal;MT;0;5516;5516;0;1742;899;843;2926;37;160;257;287;1793;392;278;2299;3523;0.628;0.594;0.816;0.51;-5.637.155.257;-1.519.788.998;201.78;187;192;1,014.03;;;5424;Rural Adjacente;9896.08;13184.24;13177.61;28665.55;64923.48;5913.52;70836.99;5301;13362.95;Administração, defesa, educação e saúde públicas e seguridade social;;57;2;2;5;0;0;5;28;1;3;0;0;0;2;2;3;0;0;0;4;0;0;1;18;;;;;;;492;529;0;;;;3
Acrelândia;AC;0;12538;12535;3;3473;1679;1794;5902;118;508;671;710;3484;411;5807;31152;4079;0.604;0.584;0.808;0.466;-6.705.231.658;-1.007.379.389;205.89;184;369;1,807.95;;;15020;Rural Adjacente;91143.89;14.02;32079.69;85106.34;222349.24;5261.66;227610.9;14120;16119.75;Administração, defesa, educação e saúde públicas e seguridade social;22507579;107;2;0;15;0;0;0;56;1;5;1;0;0;1;1;3;8;6;0;8;0;0;1;27;0;1;0;1;0;86310524;1223;3343;0;;;;1
Acreúna;GO;0;20279;20270;9;6485;5636;849;16969;211;1008;1400;1559;11256;1535;112457;452254;2282;0.69;0.71;0.822;0.553;-5.037.497.337;-1.739.815.622;542.39;596;2065;1,566.00;;;22182;Urbano;232884.07;47274.38;207423.31;86.03;573612.01;40799.1;614411.11;21905;28048.9;Agricultura, inclusive apoio à agricultura e a pós colheita;46887656;318;19;0;25;0;0;4;160;23;15;3;0;3;9;10;6;16;8;3;14;0;0;;;2;1;2;1;81831560;98509641;4892;3461;3;;;;1
Açu;RN;0;53227;53216;11;14880;11063;3817;41739;601;2546;3312;3934;27195;4151;1301;12773;2889;0.66;0.641;0.795;0.568;-3.691.792.322;-5.571.945.999;48.68;4466;1094;1,303.44;Polo Costa Branca;D;57644;Urbano;19768.32;124288.5;324444.15;252219.21;720720.18;62923.66;783.64;57743;13571.24;Administração, defesa, educação e saúde públicas e seguridade social;92773968;843;11;1;59;0;7;39;445;16;64;17;6;2;25;30;2;48;22;10;39;0;0;2;123;1;3;1;3;66058899;871798349;;;;;;;4
